id,category,venueName,region,startTime,endTime,days,dates,officialUrl,night,memo,accessNote
local-keiba-2026-05-24-盛岡,local-keiba,盛岡競馬場,岩手県,11:50,18:40,,2026-05-24,https://www.iwatekeiba.or.jp/,false,地方競馬公式データから取り込み。代表レース: Ｃ２,盛岡の公式発表もあわせて確認してください。
local-keiba-2026-05-24-帯広ば,local-keiba,帯広ば競馬場,北海道,14:35,21:05,,2026-05-24,https://banei-keiba.or.jp/,true,地方競馬公式データから取り込み。代表レース: 氣志團　来場記念Ｃ２－１３,帯広ばの公式発表もあわせて確認してください。
local-keiba-2026-05-25-浦和,local-keiba,浦和競馬場,埼玉県,12:20,18:55,,2026-05-25,https://www.urawa-keiba.jp/,false,地方競馬公式データから取り込み。代表レース: Ｃ３七,浦和の公式発表もあわせて確認してください。
local-keiba-2026-05-25-金沢,local-keiba,金沢競馬場,石川県,12:15,19:25,,2026-05-25,https://www.kanazawakeiba.com/,true,地方競馬公式データから取り込み。代表レース: 秀明くん生まれてきてくれてありがとう記念Ｃ１六,金沢の公式発表もあわせて確認してください。
local-keiba-2026-05-25-盛岡,local-keiba,盛岡競馬場,岩手県,11:30,18:35,,2026-05-25,https://www.iwatekeiba.or.jp/,false,地方競馬公式データから取り込み。代表レース: Ｃ２,盛岡の公式発表もあわせて確認してください。
local-keiba-2026-05-25-帯広ば,local-keiba,帯広ば競馬場,北海道,14:25,21:15,,2026-05-25,https://banei-keiba.or.jp/,true,地方競馬公式データから取り込み。代表レース: もなせくんの好きにして賞Ｃ２－１２,帯広ばの公式発表もあわせて確認してください。
local-keiba-2026-05-25-名古屋,local-keiba,名古屋競馬場,愛知県,14:35,21:25,,2026-05-25,https://www.nagoyakeiba.com/,true,地方競馬公式データから取り込み。代表レース: アジア・アジアパラ応援２７ ３歳６,名古屋の公式発表もあわせて確認してください。
local-keiba-2026-05-26-浦和,local-keiba,浦和競馬場,埼玉県,12:20,18:55,,2026-05-26,https://www.urawa-keiba.jp/,false,地方競馬公式データから取り込み。代表レース: ３歳四,浦和の公式発表もあわせて確認してください。
local-keiba-2026-05-26-金沢,local-keiba,金沢競馬場,石川県,12:15,19:25,,2026-05-26,https://www.kanazawakeiba.com/,true,地方競馬公式データから取り込み。代表レース: ３歳Ｂ６,金沢の公式発表もあわせて確認してください。
local-keiba-2026-05-26-盛岡,local-keiba,盛岡競馬場,岩手県,11:30,18:35,,2026-05-26,https://www.iwatekeiba.or.jp/,false,地方競馬公式データから取り込み。代表レース: Ｃ２三組,盛岡の公式発表もあわせて確認してください。
