競馬場,競走年月日,レース番号,発走時刻,競走種類名称,レース名,副賞名1,副賞名2,副賞名3,副賞名4,副賞名5,副賞名6,副賞名7,副賞名8,副賞名9,副賞名10,副賞名11,副賞名12,副賞名13,副賞名14,副賞名15,芝ダート区分,回り,距離,天候,馬場,頭数,条件,1着賞金(円),2着賞金(円),3着賞金(円),4着賞金(円),5着賞金(円),上がり4F,上がり3F,ハロンタイム1,ハロンタイム2,ハロンタイム3,ハロンタイム4,ハロンタイム5,ハロンタイム6,ハロンタイム7,ハロンタイム8,ハロンタイム9,ハロンタイム10,ハロンタイム11,ハロンタイム12,ハロンタイム13,ハロンタイム14,ハロンタイム15,コーナー名称1,コーナー名称2,コーナー名称3,コーナー名称4,コーナー名称5,コーナー名称6,コーナー名称7,コーナー名称8,コーナー通過順1,コーナー通過順2,コーナー通過順3,コーナー通過順4,コーナー通過順5,コーナー通過順6,コーナー通過順7,コーナー通過順8
盛岡,20260524,10,1700,普通,奥中山高原賞Ｃ１,,,,,,,,,,,,,,,,ダート,左,1400,小雨,稍重,11,サラブレッド系　一般,500000,175000,100000,65000,35000,51.6,39.1,,,,,,,,,,,,,,,,３コーナー,４コーナー,,,,,,,"3,9,10-7-2-6-(1,4)-11,(5,8)","(3,9),7,10,2-(6,4),1,11-5,8",,,,,,
盛岡,20260524,11,1730,普通,マグオート賞Ｃ１,,,,,,,,,,,,,,,,ダート,左,1400,雨,稍重,12,サラブレッド系　一般,500000,175000,100000,65000,35000,51.9,39.6,,,,,,,,,,,,,,,,３コーナー,４コーナー,,,,,,,"1,8,5,(9,10)-(3,7),6,11-(2,4)=12","1,8,5-3,9,(7,10),(2,11),(6,4)-12",,,,,,
盛岡,20260524,12,1805,重賞,"第２７回 あすなろ賞オープン",ＡＡＢ秋田朝日放送社賞,開催執務委員長賞,,,,,,,,,,,,,,ダート,左,1800,雨,稍重,10,"サラブレッド系　３歳以上 別定",4000000,1400000,800000,600000,400000,49.4,37.1,,,,,,,,,,,,,,,,１コーナー,２コーナー,３コーナー,４コーナー,,,,,"6,9,8,4,(2,3),(5,10),7-1","6,9,8,(4,2),10,3-5,(1,7)","(6,9),8,10,(4,2),3,7,1,5","9,8-(4,10),2,(6,3,7),1,5",,,,
盛岡,20260525,1,1130,普通,Ｃ２,,,,,,,,,,,,,,,,ダート,左,1000,晴,良,10,サラブレッド系　一般,430000,151000,86000,56000,30000,47.7,36.6,,,,,,,,,,,,,,,,３コーナー,４コーナー,,,,,,,"(2,5),1-6,10,(9,8)-(3,7)-4","(2,5)-1,(9,6)-10,3,8-4,7",,,,,,
盛岡,20260525,2,1205,普通,Ｃ２,,,,,,,,,,,,,,,,ダート,左,1000,晴,良,11,サラブレッド系　一般,430000,151000,86000,56000,30000,47.3,36.1,,,,,,,,,,,,,,,,３コーナー,４コーナー,,,,,,,"3,6,1,(2,4),(7,8),9-5,10,11","3,6,(1,4),2,9,7,8,5-11-10",,,,,,
盛岡,20260525,3,1240,普通,Ｃ２六組,,,,,,,,,,,,,,,,ダート,左,1400,晴,良,10,サラブレッド系　一般,430000,151000,86000,56000,30000,52.1,39.8,,,,,,,,,,,,,,,,３コーナー,４コーナー,,,,,,,"8-9-10,6,(1,5),4,7,2,3","8-9=5,10,6,1,4,2,3=7",,,,,,
盛岡,20260525,4,1315,普通,Ｃ２五組,,,,,,,,,,,,,,,,ダート,左,1400,晴,良,11,サラブレッド系　一般,430000,151000,86000,56000,30000,51.3,39.1,,,,,,,,,,,,,,,,３コーナー,４コーナー,,,,,,,"6,5,10,1,11-7,2,8-(4,9)","6-5-1-(10,11),2,7,8,4-9",,,,,,
盛岡,20260525,5,1355,普通,Ｃ２四組,,,,,,,,,,,,,,,,ダート,左,1400,晴,良,10,サラブレッド系　一般,430000,151000,86000,56000,30000,52.0,39.6,,,,,,,,,,,,,,,,３コーナー,４コーナー,,,,,,,"3,6,10-4-8-(1,2)-(5,7)","10,(3,6),4-5,8,1,2,7",,,,,,
盛岡,20260525,6,1430,普通,３歳Ｃ２三組,,,,,,,,,,,,,,,,ダート,左,1200,晴,良,12,サラブレッド系　３歳,500000,175000,100000,65000,35000,50.0,38.3,,,,,,,,,,,,,,,,３コーナー,４コーナー,,,,,,,"11,8,2,9-6,4,12,3-1,7-10-5","11,8,2,4,6,9-12,3,7,1-(10,5)",,,,,,
盛岡,20260525,7,1505,普通,３歳Ｃ２二組,,,,,,,,,,,,,,,,ダート,左,1200,晴,良,12,サラブレッド系　３歳,500000,175000,100000,65000,35000,49.1,37.4,,,,,,,,,,,,,,,,３コーナー,４コーナー,,,,,,,"4,(1,7),(6,12),10-2-11,5-8,3,9","4,1-(2,7,12)-(5,10,6),9,11,8-3",,,,,,
盛岡,20260525,8,1540,普通,３歳Ｃ２一組,,,,,,,,,,,,,,,,ダート,左,1200,晴,良,11,サラブレッド系　３歳,500000,175000,100000,65000,35000,49.2,37.3,,,,,,,,,,,,,,,,３コーナー,４コーナー,,,,,,,"1,7,8,11-2,3-9-(5,10)-(4,6)","1,7,11-8,(2,9),3-5,6,10,4",,,,,,
盛岡,20260525,9,1615,普通,Ｃ１一組,,,,,,,,,,,,,,,,ダート,左,1600,晴,良,12,サラブレッド系　一般,500000,175000,100000,65000,35000,50.7,38.2,,,,,,,,,,,,,,,,３コーナー,４コーナー,,,,,,,"1,7,2,6,12,3,8,(10,4)-(5,11),9","(1,7),2-(10,6)-(3,12),5,11-9,4-8",,,,,,
盛岡,20260525,10,1650,特別,新緑賞Ｃ１,開催執務委員長賞,,,,,,,,,,,,,,,ダート,左,1600,晴,良,12,"サラブレッド系　一般 別定",600000,210000,120000,78000,42000,51.0,38.7,,,,,,,,,,,,,,,,３コーナー,４コーナー,,,,,,,"1,4,8,12-(3,10)-11,(7,5)-6,2","1,8-4,12,3-(7,10),11-6,5-2",,,,,,
盛岡,20260525,11,1725,特別,陽光特別Ａ二組,,,,,,,,,,,,,,,,ダート,左,1600,晴,良,10,"サラブレッド系　一般 別定",1400000,490000,280000,182000,98000,49.4,37.5,,,,,,,,,,,,,,,,３コーナー,４コーナー,,,,,,,"1,4,9,(3,5,8),(6,10)-7,2","4,(1,9),5,3,(6,10),2,8,7",,,,,,
盛岡,20260525,12,1800,特別,青葉特別Ａ一組,,,,,,,,,,,,,,,,ダート,左,1600,晴,良,10,"サラブレッド系　一般 別定",1800000,630000,360000,234000,126000,49.2,36.4,,,,,,,,,,,,,,,,３コーナー,４コーナー,,,,,,,"7,9,10,6,5,2,3-(4,1)","7,10,9,5,6,2,3-1,4",,,,,,
盛岡,20260526,1,1130,普通,Ｃ２三組,,,,,,,,,,,,,,,,ダート,左,1400,,,11,サラブレッド系　一般,430000,151000,86000,56000,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
